"統計期","性別","<b>總計</b>","印尼","菲律賓","泰國","越南","其他國籍","<b>產業移工</b>","產業移工/印尼","產業移工/菲律賓","產業移工/泰國","產業移工/越南","產業移工/其他國籍","<b>社福移工</b>","社福移工/印尼","社福移工/菲律賓","社福移工/泰國","社福移工/越南","社福移工/其他國籍","<b>其他</b>","其他/印尼","其他/菲律賓","其他/泰國","其他/越南","其他/其他國籍"
"112年 6月底","女",36742,20844,1835,244,13819,－,6588,483,136,196,5773,－,29639,20106,1692,44,7797,－,515,255,7,4,249,－
"112年 7月底","合計",83383,26584,2529,1775,52494,1,52296,6038,789,1656,43812,1,30064,20173,1725,63,8103,－,1023,373,15,56,579,－
"112年 7月底","男",46550,5711,688,1535,38615,1,45628,5550,652,1465,37960,1,542,130,29,18,365,－,380,31,7,52,290,－
"112年 7月底","女",36833,20873,1841,240,13879,－,6668,488,137,191,5852,－,29522,20043,1696,45,7738,－,643,342,8,4,289,－
"112年 8月底","合計",84339,26736,2526,1784,53292,1,53236,6177,799,1664,44595,1,29949,20092,1714,62,8081,－,1154,467,13,58,616,－
"112年 8月底","男",47339,5835,698,1543,39262,1,46399,5673,664,1471,38590,1,545,129,30,18,368,－,395,33,4,54,304,－
"112年 8月底","女",37000,20901,1828,241,14030,－,6837,504,135,193,6005,－,29404,19963,1684,44,7713,－,759,434,9,4,312,－
"112年 9月底","合計",85201,26884,2551,1795,53970,1,54065,6307,815,1674,45268,1,29849,20009,1724,62,8054,－,1287,568,12,59,648,－
"112年 9月底","男",48097,5954,709,1548,39885,1,47156,5788,676,1475,39216,1,542,130,29,18,365,－,399,36,4,55,304,－
"112年 9月底","女",37104,20930,1842,247,14085,－,6909,519,139,199,6052,－,29307,19879,1695,44,7689,－,888,532,8,4,344,－
"112年 10月底","合計",85797,27043,2596,1795,54362,1,54650,6449,845,1675,45680,1,29726,19925,1736,62,8003,－,1421,669,15,58,679,－
"112年 10月底","男",48615,6083,734,1549,40248,1,47669,5913,697,1477,39581,1,541,132,30,18,361,－,405,38,7,54,306,－
"112年 10月底","女",37182,20960,1862,246,14114,－,6981,536,148,198,6099,－,29185,19793,1706,44,7642,－,1016,631,8,4,373,－
"112年 11月底","合計",86248,27139,2617,1803,54688,1,55141,6574,857,1687,46022,1,29558,19803,1744,61,7950,－,1549,762,16,55,716,－
"112年 11月底","男",49013,6200,744,1552,40516,1,48070,6034,706,1483,39846,1,534,129,31,18,356,－,409,37,7,51,314,－
"112年 11月底","女",37235,20939,1873,251,14172,－,7071,540,151,204,6176,－,29024,19674,1713,43,7594,－,1140,725,9,4,402,－
"112年 12月底","合計",86352,27272,2646,1803,54630,1,55268,6662,876,1689,46040,1,29375,19721,1751,58,7845,－,1709,889,19,56,745,－
"112年 12月底","男",49097,6282,762,1557,40495,1,48155,6113,723,1488,39830,1,524,128,31,17,348,－,418,41,8,52,317,－
"112年 12月底","女",37255,20990,1884,246,14135,－,7113,549,153,201,6210,－,28851,19593,1720,41,7497,－,1291,848,11,4,428,－
"113年底","合計",90928,28557,2744,1842,57784,1,59394,7669,957,1738,49029,1,30490,20738,1779,50,7923,－,1044,150,8,54,832,－
"113年底","男",52570,7206,827,1588,42948,1,51603,7032,789,1525,42256,1,534,117,33,15,369,－,433,57,5,48,323,－
"113年底","女",38358,21351,1917,254,14836,－,7791,637,168,213,6773,－,29956,20621,1746,35,7554,－,611,93,3,6,509,－
"113年 1月底","合計",85947,27361,2659,1798,54128,1,54957,6756,889,1688,45623,1,29150,19615,1744,58,7733,－,1840,990,26,52,772,－
"113年 1月底","男",48755,6361,777,1552,40064,1,47820,6193,738,1486,39402,1,519,128,30,17,344,－,416,40,9,49,318,－
"113年 1月底","女",37192,21000,1882,246,14064,－,7137,563,151,202,6221,－,28631,19487,1714,41,7389,－,1424,950,17,3,454,－
"113年 2月底","合計",85229,26851,2676,1747,53954,1,54781,6696,899,1642,45543,1,28471,19058,1747,54,7612,－,1977,1097,30,51,799,－
"113年 2月底","男",48701,6316,782,1511,40091,1,47769,6146,743,1446,39433,1,511,125,30,17,339,－,421,45,9,48,319,－
"113年 2月底","女",36528,20535,1894,236,13863,－,7012,550,156,196,6110,－,27960,18933,1717,37,7273,－,1556,1052,21,3,480,－
"113年 3月底","合計",86309,27068,2698,1753,54789,1,55692,6817,916,1647,46311,1,28457,19026,1746,52,7633,－,2160,1225,36,54,845,－
"113年 3月底","男",49469,6422,799,1516,40731,1,48518,6253,758,1449,40057,1,513,122,30,16,345,－,438,47,11,51,329,－
"113年 3月底","女",36840,20646,1899,237,14058,－,7174,564,158,198,6254,－,27944,18904,1716,36,7288,－,1722,1178,25,3,516,－
"113年 4月底","合計",86905,27281,2703,1767,55153,1,56151,6903,920,1662,46665,1,28424,19016,1742,52,7614,－,2330,1362,41,53,874,－
