"統計期","性別","<b>總計</b>","印尼","菲律賓","泰國","越南","其他國籍","<b>產業移工</b>","產業移工/印尼","產業移工/菲律賓","產業移工/泰國","產業移工/越南","產業移工/其他國籍","<b>社福移工</b>","社福移工/印尼","社福移工/菲律賓","社福移工/泰國","社福移工/越南","社福移工/其他國籍","<b>其他</b>","其他/印尼","其他/菲律賓","其他/泰國","其他/越南","其他/其他國籍"
"94年 9月底","女",14938,2712,2767,393,9062,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 10月底","合計",20771,3294,3110,2556,11796,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 10月底","男",5420,487,292,2152,2478,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 10月底","女",15351,2807,2818,404,9318,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 11月底","合計",21236,3496,3189,2587,11949,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 11月底","男",5507,541,311,2178,2467,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 11月底","女",15729,2955,2878,409,9482,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 12月底","合計",21679,3749,3225,2609,12079,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 12月底","男",5496,557,313,2197,2419,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"94年 12月底","女",16183,3192,2912,412,9660,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年底","合計",21051,5512,2982,1839,10711,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年底","男",4638,816,288,1520,2010,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年底","女",16413,4696,2694,319,8701,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 1月底","合計",21993,4019,3247,2583,12128,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 1月底","男",5471,582,309,2175,2396,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 1月底","女",16522,3437,2938,408,9732,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 2月底","合計",22950,4488,3292,2679,12475,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 2月底","男",5751,678,317,2261,2486,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 2月底","女",17199,3810,2975,418,9989,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 3月底","合計",23574,4822,3335,2700,12700,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 3月底","男",5890,765,322,2280,2514,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 3月底","女",17684,4057,3013,420,10186,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 4月底","合計",22694,4761,3256,2467,12193,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 4月底","男",5506,722,314,2063,2398,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 4月底","女",17188,4039,2942,404,9795,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 5月底","合計",21578,4629,3151,2274,11515,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 5月底","男",5130,701,310,1895,2220,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 5月底","女",16448,3928,2841,379,9295,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 6月底","合計",21352,4707,3135,2230,11272,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 6月底","男",5032,703,305,1850,2170,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 6月底","女",16320,4004,2830,380,9102,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 7月底","合計",21153,4813,3093,2111,11129,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 7月底","男",4916,710,306,1746,2150,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 7月底","女",16237,4103,2787,365,8979,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 8月底","合計",21013,4954,3058,2052,10942,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 8月底","男",4838,739,297,1695,2103,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 8月底","女",16175,4215,2761,357,8839,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 9月底","合計",20701,5008,2983,1950,10753,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 9月底","男",4644,729,290,1604,2017,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 9月底","女",16057,4279,2693,346,8736,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 10月底","合計",20755,5140,2975,1906,10727,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 10月底","男",4635,733,293,1576,2029,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 10月底","女",16120,4407,2682,330,8698,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 11月底","合計",20868,5308,2962,1876,10715,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 11月底","男",4665,785,290,1548,2038,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
