no,w,county,country,gender,age,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q7,q8a,q8b,q8c,q8d,q8e,q9,q9a_2,q9a_3,q10,q11,q11a_1,q11a_2,q11a_3,q12,q12a1_1,q12a2_1,q12a1_2,q12a2_2,q12b_2,q12b_3,q12c_1,q12c_2,q12c_3,q12c_4,q121,q121a,q13,q13a_1,q13a_2,q13a,q14,q14a_1_1,q14a_2_1,q14b_1_1,q14b_2_1,q14a_1_2,q14a_2_2,q14b_1_2,q14b_2_2,q15,q15a,q16,q16a,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17b,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q20,q20a,q20b_1,q20b_2,q20b_3,q20b_4,q20b_5,q20b_6,q20b_7,q20b_8,q20c,q20d,q21,q21a,q22_1,q22_2,q22_3,q23,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25,q25a,q25b,q25ba,q25baa,q25bb
FGT6731,4.512110669,3,30,2,2,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,3,2,1,1,0,0,1,2,2,2,3,2,1, , ,1,24800,24000,800,0,2, , ,1,12,1, ,0,0,0,0,2,1,1,2,0,2,1,7,9,5,0, , , , ,1,1,2, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,4,4,3,3,3,4,4,1,3,1,0,0,0,1,0,1,0,1,1,1,2,1,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,1,1, , 
FBI0955,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3,1,1,2,1, , ,2,19268,17000,2268,0,2, , ,1,12,1, ,0,0,0,0,2,1,1,2,0,2,2, , , , ,6,10,7,0,1,2,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,3,3,2,3,2,1,3,1,0,1,1,0,0,0,0,2,1,2, ,1,1,0,2,0,1,0,1,1,0,0,1,1,0,1,0,0,1, , , , , 
FAI4438,65.7347685,1,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,6,1,0,0,0,0,1,2,3,1,1,1,1, , ,1,19267,17000,2267,0,3, , , , , ,1,1,0,1,0,2,1,2, , , ,2, , , , ,5.5,9,3.5,0,1,6,2, ,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,1,2,2,2,1,3,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,1, , , , , 
FNI7604,59.01050541,14,9,2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,3,2,0,1,0,0,1,2,3,1,1,1,1, , ,1,19835,17000,2835,0,3, , , , , ,1,0,0,1,0,2,1,1,2,0,2,2, , , , ,7,10,3.5,0,1,2,1,3,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,2,3,1,1,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
FNI3460,60.44770968,14,9,2,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1,0,0,0,0,1,2,1,1,1,2,1, , ,2,23470,19135,2835,1500,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,8,8,2,0,1,3,1,2,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,4,2,4,2,3,3,1,3,1,1,1,0,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FET2148,2.523876844,6,30,2,3,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,1,1,1,0,1,2,3,1,3,1,1, , ,1,27200,24000,3200,0,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,7,10,3,0,1,2,1,1,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,3,2,2,2,2,1,1,1,0,1,1,0,0,0,0,1,1,2, ,1,1,0,2,0,0,0,1,0,0,0,1,1,0,1,0,0,2,2, , , , 
FII6881,61.86338911,9,9,2,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,2,1,2,1,2,1, , ,1,21000,18529,2471,0,3, , , , , ,1,1,0,1,0,2,1,2, , , ,2, , , , ,7,10,2,30,2, ,2, ,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,3,3,1,1,0,0,1,0,1,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2, , , , 
FAI4320,65.7347685,1,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,1,2,0,0,0,1,1,2,3,1,1,1,1, , ,1,19767,17000,2267,500,3, , , , , ,1,1,0,1,0,2,1,1,2.5,0,2.5,2, , , , ,7.5,9.5,3,0,2, ,2, ,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,3,2,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1, , , , , 
FRI7812,52.80210614,18,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,2,2,2,1,1,1, , ,1,22567,22000,567,0,3, , , , , ,1,1,1,0,0,1, ,2, , , ,2, , , , ,8,10,3,0,1,2,1,2,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,4,4,3,4,3,3,3,1,1,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1, , , , , 
FAI4321,65.7347685,1,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,6,1,0,0,0,0,1,2,3,1,1,1,2,1, ,3,21000,18732,2268,0,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,6.5,8,2,30,2, ,2, ,1,1,1,1,0,2,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,1,2,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FBI5154,62.94045808,2,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,6,6,2,1,0,0,0,1,2,2,1,1,2,1, , ,1,19268,17000,2268,0,3, , , , , ,1,1,0,1,0,2,1,1,2.82,0,2.82,2, , , , ,7,7,1,0,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,0,1,0,1,0,0,0,2,1,2, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
FDI5886,57.91173586,5,9,2,3,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3,1,1,2,1, , ,2,22670,19835,2835,0,3, , , , , ,1,1,0,0,0,1, ,1,2,30,2.5,2, , , , ,7,8,3,20,2, ,2, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,0,0,1,1,1,0,0,0,2,1,1,2,0,0,1,2,1,1,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FAI4204,66.36361794,1,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,2,2,1,2,1, , ,1,19000,17000,2000,0,3, , , , , ,1,1,1,1,0,2,1,1,4,0,4,1,8,8,3.5,0, , , , ,2, ,2, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,4,4,4,4,3,2,4,1,3,1,0,0,0,1,0,1,0,2,1,1,1,1,1,0,2,0,0,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FBI0703,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,0,0,0,1,2,3,1,1,2,4, , ,2,19835,17000,2835,0,3, , , , , ,1,1,0,1,0,2,1,2, , , ,2, , , , ,8,8,3,0,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,3,2,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,0,0,1,0,0,1,1,0,1,0,0,0,1, , , , , 
FGI6686,61.09423638,3,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,2,1,0,0,0,1,2,2,1,1,1,1, , ,1,19268,17000,2268,0,3, , , , , ,1,1,0,1,0,2,1,2, , , ,2, , , , ,7,8,3,0,1,1,3, ,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,3,2,1,1,1,0,0,0,1,0,1,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1, , , , , 
FGP2561,58.54386895,3,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,3,2,2,1,1, , ,2,21199,18932,2267,0,2, , ,1,12,1, ,0,0,0,0,2,1,1,12,0,12,2, , , , ,8,7,3,0,2, ,3, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,2,2,1,1,0,0,0,0,0,1,0,0,1,2,2, ,0,0,1,2,1,0,0,0,0,0,1,0,1,0,1,0,0,1, , , , , 
FBI0733,63.86243872,2,9,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,1,0,0,0,0,1,2,1,1,1,2,1, , ,1,17567,17000,567,0,3, , , , , ,1,0,0,1,0,2,1,1,8,0,8,2, , , , ,6,6,3,0,2, ,3, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,2,2,1,1,0,0,0,0,0,1,0,0,1,4,1,2,0,0,1,2,1,0,0,1,1,0,0,1,1,1,0,0,0,1, , , , , 
FOV7682,29.20321022,15,33,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,2,2,1,4,2,2,1, ,1,26973,23800,3173,0,3, , , , , ,1,1,1,0,0,1, ,2, , , ,2, , , , ,8,8,3,0,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,3,3,2,2,2,1,1,0,0,0,1,0,0,0,0,2,1,2, ,0,0,1,2,1,1,1,0,0,0,1,0,1,1,0,0,0,1, , , , , 
FAI0329,65.7347685,1,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,3,1,1,2,1, , ,2,22835,20000,2835,0,2, , ,1,8,1, ,0,0,0,0,2,1,1,6,0,6,1,7,7,4,0, , , , ,1,1,3, ,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,3,2,3,3,2,2,2,1,3,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
FTI3916,48.37066775,20,9,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,0,0,0,0,1,2,1,1,1,2,1, , ,2,19372,17000,2268,104,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,7,9,2,0,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,1,1,1,0,1,1,0,0,0,0,1,4,2, ,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1, , , , , 
FBI0627,62.34404588,2,9,2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,2,3,1,1,2,1, , ,3,23768,19500,2268,2000,2, , ,2,12,1, ,0,0,0,0,2,1,1,6,0,6,2, , , , ,9,7,4,0,2, ,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,3,4,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,0,0,1,1,0,1,0,1,0,1,0,0,1, , , , , 
FBV5302,71.77353913,2,33,2,4,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,3,1,0,0,0,0,1,2,4,1,4,2,1, , ,1,28000,20294,2706,5000,3, , , , , ,1,1,0,1,0,2,1,2, , , ,2, , , , ,7,10,2,0,1,1,1,3,1,1,1,1,0,2,1, ,0,0,0,0,0,0,0,0,5,4,3,4,3,3,4,1,1,0,0,0,0,0,1,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FAI0041,65.7347685,1,9,2,3,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,2,3,2,1,2,1, , ,1,19268,17000,2268,0,3, , , , , ,1,0,0,1,0,2,1,1,3.31,0,3.31,2, , , , ,7,9,3,0,2, ,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,3,3,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,0,1,1,0,0,0,0,0,1,1,0,1,0,1, , , , , 
FQV3742,3.31685339,17,33,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,5,1,0,0,0,0,1,2,4,1,4,2,1, , ,3,22549,19549,3000,0,3, , , , , ,1,1,0,0,0,1, ,1,2.38,0,2.38,2, , , , ,8,8,5,0,1,1,3, ,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,1,1,1,1,0,0,1,0,0,0,2,1,2, ,0,0,1,2,1,1,0,1,0,0,0,1,0,1,1,0,0,1, , , , , 
FDI1589,58.46574653,5,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,1,0,0,0,1,2,2,1,1,1,1, , ,1,21536,19268,2268,0,3, , , , , ,1,1,0,0,0,1, ,2, , , ,2, , , , ,6,5,3,0,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,4,3,3,3,2,3,3,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,3, , , 
FDI5741,58.46574653,5,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,1,0,0,0,0,1,2,2,1,1,1,1, , ,1,19000,17000,2000,0,3, , , , , ,1,1,0,1,0,2,1,1,2,0,2,2, , , , ,4,9,1,0,1,2,1,2,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,3,4,3,4,3,1,3,1,0,1,1,0,0,0,0,2,1,1,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1, , , , , 
FCI1407,64.61300426,4,9,2,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,0,0,0,1,2,3,1,1,2,1, , ,1,19268,17000,2268,0,3, , , , , ,1,1,1,1,0,2,1,1,2.5,0,2.5,1,6,8,2,0, , , , ,1,2,1,3,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,3,2,1,3,0,0,1,1,1,0,0,0,2,1,1,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2, , , , 
FQP7774,3.586815326,17,24,2,3,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,1,2,3,2,2,1,1, , ,1,24000,21732,2268,0,3, , , , , ,1,0,0,1,0,2,1,1,4.5,0,4.5,2, , , , ,7,10,2,0,1,1,2, ,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,3,3,4,3,3,2,3,1,3,1,0,1,1,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FGI2470,61.98917271,3,9,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,2,1,0,0,0,1,2,1,2,1,2,1, , ,1,19268,17000,2268,0,2, , ,1,10,1, ,0,0,0,0,2,1,1,3.4,0,3.4,2, , , , ,7,8,3,0,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,1,1,2,1,2,2,1,1,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FDI1600,58.46574653,5,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,1,0,0,0,0,1,2,2,1,1,2,1, , ,1,19267,17000,2267,0,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,9,9,3,0,1,2,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1, , , , , 
FAI0103,65.7347685,1,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,2,1,0,0,0,0,1,2,3,1,1,1,1, , ,1,19835,17000,2835,0,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,7,9,3,0,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0,1,0,1, , , , , 
FEI1869,58.43531648,6,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,2,1,0,0,0,1,2,3,1,1,1,1, , ,1,20468,17000,2268,1200,3, , , , , ,1,1,0,0,0,1, ,2, , , ,2, , , , ,8,9,3.5,0,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,2,3,3,4,3,1,1,1,0,1,1,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FDI5806,57.91173586,5,9,2,3,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,2,1,0,0,0,1,2,3,1,1,1,1, , ,1,20000,17647,2353,0,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,7,8,3,0,2, ,1,3,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,4,4,4,4,3,4,4,1,1,0,0,1,1,1,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
