no,w,nation,ind,industry,q1,q2,q3,q4,q5_1,q5_2,q5_3,q6,q6_o,q6_1,q7_1$,q7_2,q7_21$,q7_3,q7_3_1,q7_31$,q7_3_1b,q7_3_1bo,q8,q8_11,q8_12,q8_13,q8_14,q8_15,q8_16,q8_1o,q9_1,q9_2,q9_3,q9_4,q9_5,q9_6,q9_o,q10,q10_11,q10_12,q10_13,q10_14,q10_1o,t1,t2,t3,t4,q11,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q11_8,q11_1o,q12,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q12_7,q12_8,q12_9,q12_10,q12_11,q12_12,q12_1o,q13_1,q13_2,q13_3,q14_1,q14_2,q14_3,q14_4,q15,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_1o,q16,q16_1,q16_2,q16_3,q16_4,q16_5,q16_1o,q17,q17_1,q17_nt,q18,q19,q19_1,q19_2,q19_3,q19_4,q19_5,q19_6,q19_7,q19_8,q19_1o,q20,q20_1,q20_2,q20_3,q21,q21_1,q21_2,q21_3,q23,q22_1,q22_2,q22_1_a,q22_2_a,q22_2_b,q22_2_c,q24,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q24_8,q24_1o,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q25_7,q25_8,q25_9,q25_10,q25_11,q25_12,q25_13,q25_14,q25o
11,117,1,1,1,1,1,2,2,1,2,0,1, ,2,48840,1, ,1,1, ,1, ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,22,8,40,24258,19047,4240,971,1, , , , , , , ,1, , , , , , ,1,1, ,1,1,0,2,0,0,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,0,9,0,11,0,0,0, 
12,114,1,1,1,2,1,1,1,1,3,0,1, ,2,51060,1, ,1,1, ,1, ,1,0,0,0,0,0,0, ,1,2,0,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,1,0,0,0,0,0,7,0,0,0,0,0, ,25,8,30,24217,19047,3170,2000,1, , , , , , , ,1, , , , , , ,1,2,2000,1,1,0,2,0,0,0,6,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,0,0,0,9,0,0,12,13,0, 
13,116,1,1,1,1,1,1,1,1,3,0,1, ,2,81130,1, ,1,2,81130,3, ,2,0,0,0,0,5,0, ,1,0,0,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,23,8,57.5,26597,19047,6550,1000,2,0,2,0,4,0,0, ,2,1,0,3,0,0, ,1,1, ,1,1,0,2,0,0,0,0,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,6,0,8,0,0,0,12,13,0, 
14,116,1,1,1,1,1,1,2,1,3,0,1, ,2,83690,1, ,1,2,83690,1, ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,8,0,0,0,0, ,27,8,80,34711,19047,15664,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,2,0,4,0,0,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,0,0,0,0,12,0,0, 
15,116,1,1,1,1,1,3,2,1,2,6,1, ,2,53280,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,27,8,40,24201,19121,5080,0,1, , , , , , , ,2,0,0,3,0,0, ,2,2,2500,1,2, , , , , , , , , ,1,1,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,6,0,0,0,0,0,0,0,0, 
16,117,1,1,1,1,1,1,2,1,3,0,1, ,2,71653,2,59940,1,2,71653,1, ,1,0,0,0,0,0,0, ,0,0,0,0,5,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,7,0, ,1,0,2,3,0,0,0,0,0,0,0,0,0, ,26,8,52,25400,19047,5323,1030,2,1,0,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2000,1,2, , , , , , , , , ,1,0,0,3,1,0,0,3,5, , , , , , ,2,1,2,0,0,5,0,0,0, ,0,0,3,0,0,0,0,0,0,0,0,0,0,0, 
17,117,1,1,1,1,1,2,2,1,3,0,1, ,2,132294,2,48840,1,2,70133.87935,1, ,1,0,0,0,0,0,0, ,0,0,3,0,0,0, ,2,1,0,0,0, ,171.6, , , ,2,1,0,0,0,0,0,0,0, ,1,0,0,3,0,0,0,0,0,0,0,0,0, ,24,10,40,24247,19047,5200,0,1, , , , , , , ,2,0,0,3,0,0, ,1,2,500,1,2, , , , , , , , , ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,13,0, 
18,116,1,1,1,1,1,1,2,1,3,0,1, ,2,75160,1, ,1,2,75160,1, ,1,0,0,0,0,0,0, ,1,0,0,0,5,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,24,8,40,25239,19121,5120,998,2,0,2,0,0,0,0, ,2,1,0,3,0,0, ,1,2,3500,1,1,0,0,0,0,5,0,0,0, ,1,0,0,3,2, , , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,0,2,0,0,0,0,0,0,9,0,0,12,13,0, 
19,118,1,1,1,1,1,1,2,1,3,0,1, ,2,48840,2,4440,1,2,8250,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,1,0,0,0, ,193.05, , , ,2,1,2,0,0,0,0,0,0, ,1,0,2,3,0,0,0,0,0,0,0,0,0, ,23,8,2.1,19680,19047,223,410,1, , , , , , , ,1, , , , , , ,1,1, ,1,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,8,0,0,0,0,13,0, 
20,118,1,1,1,1,1,2,2,1,3,0,1, ,2,51060,1, ,1,2,44400,1, ,1,0,0,0,0,0,0, ,0,0,3,0,5,0, ,2,1,2,3,0, ,104.25,12.87,11.58, ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,23,8,40,24638,19047,4600,991,1, , , , , , , ,2,1,0,3,0,0, ,1,2,2500,1,1,0,0,0,0,0,0,0,8,開會有關如何處理自己的工作及衛生問題,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,0,0,0,0,0,0,0,0,0, 
21,11,1,1,2,1,1,2,2,2,3,3,1, ,2,77700,2,52000,1,1, ,1, ,1,0,0,0,0,0,0, ,0,0,0,4,5,0, ,2,1,0,0,0, ,102.96, , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,30,22952,19000,3000,952,2,1,2,0,0,0,0, ,2,1,0,3,0,0, ,1,2,1100,1,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,8,0,0,0,0,13,0, 
22,11,1,1,2,1,1,2,2,1,3,0,1, ,2,70133.87935,1, ,1,2,70133.87935,1, ,1,0,0,0,0,0,0, ,1,0,0,0,0,0, ,2,0,0,3,0, , , ,21.45, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,40,24031,19047,4000,984,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,0,0,0,5,0,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,0,0,0,0,0,0,0,0,0, 
23,10,1,1,2,1,1,3,2,1,3,0,1, ,2,93240,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,0,0,0, ,2,0,2,0,0, , ,21.02, , ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,22,8,50.5,26125.5,19047,6110.5,968,2,0,2,0,0,0,0, ,2,1,0,3,0,0, ,1,2,2500,1,1,0,2,0,0,0,0,0,0, ,1,1,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,8,9,0,11,0,13,0, 
24,11,1,1,2,1,1,2,1,1,2,3,1, ,2,114534,1, ,1,2,70133.87935,3, ,2,0,0,0,0,5,0, ,0,0,0,4,0,0, ,2,1,2,0,0, ,205.92,21.02, , ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,27,8,40,26889,19047,6796,1046,2,0,2,0,0,0,0, ,2,1,0,3,0,0, ,1,2,2500,1,2, , , , , , , , , ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,8,0,0,0,0,13,0, 
25,8,1,1,2,2,1,3,2,2,6,0,1, ,2,77124,2,39960,1,2,77124,1, ,1,0,0,0,0,0,0, ,0,0,3,0,0,0, ,2,1,0,0,0, ,154.44, , , ,2,0,2,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,24,8,40,25521,19121,5360,1040,2,1,0,0,0,0,0, ,2,0,0,3,0,0, ,1,1, ,1,1,0,0,0,4,0,0,0,0, ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,13,0, 
26,8,1,1,2,2,1,1,2,1,3,0,1, ,2,44400,1, ,1,1, ,3, ,2,0,2,3,4,5,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,205.92,21.02,21.45, ,1, , , , , , , , , ,1,0,2,3,0,0,6,7,8,9,0,0,0, ,24,8,40,24656,19121,4560,975,1, , , , , , , ,2,0,0,3,0,0, ,1,2,2500,1,1,0,0,0,0,5,6,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,0,0,6,0,0,0,0,0,0,0,0, 
27,11,1,1,2,1,1,2,2,2,6,0,1, ,2,70133.87935,2,41512.30159,1,2,70133.87935,3, ,2,0,0,0,0,5,0, ,1,2,3,4,5,0, ,2,1,2,0,0, ,171.6,21.02, , ,1, , , , , , , , , ,1,0,0,0,0,0,0,0,0,9,0,0,0, ,28,8,40,25209,19200,5000,1009,1, , , , , , , ,2,0,0,3,0,0, ,1,2,4500,1,1,0,2,0,4,0,0,0,0, ,1,0,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,6,0,0,0,0,0,0,0,0, 
28,113,1,1,3,1,1,2,2,1,3,0,1, ,2,66600,1, ,1,1, ,3, ,2,0,0,0,0,5,0, ,1,2,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,22,8,0,19347,19047,0,300,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,0,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,0,0,0,0,8,9,0,11,0,13,0, 
29,111,1,1,3,1,1,3,1,2,6,0,1, ,2,66600,2,41512.30159,2, , , , ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,3,4,工作技術,51.48,2.15,2.15,1.07,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,16,22030,19047,2000,983,1, , , , , , , ,1, , , , , , ,2,1, ,1,1,0,0,0,0,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,8,9,0,0,0,0,0, 
30,112,1,1,3,1,1,2,1,2,3,0,1, ,2,71040,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,23,8,72,26101,17247,8854,0,1, , , , , , , ,1, , , , , , ,2,1, ,1,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,13,0, 
31,113,1,1,3,1,1,2,1,2,3,2,1, ,2,70133.87935,2,41512.30159,1,2,70133.87935,1, ,2,0,0,0,4,0,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,102.96,2.15,2.15, ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,23,8,56,25130,19121,5000,1009,1, , , , , , , ,1, , , , , , ,2,1, ,1,1,0,0,0,4,0,0,0,0, ,1,0,0,3,1,0,0,3,1, , , , , , ,2,0,2,0,0,0,0,0,0, ,0,0,3,0,0,0,0,8,9,0,0,0,0,0, 
32,113,1,1,3,1,1,3,2,1,3,0,1, ,2,55500,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,0,5,0, ,2,0,2,3,0, , ,21.02,21.45, ,2,1,2,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,24,10,46,24922,19047,4855,1020,1, , , , , , , ,2,0,0,3,0,0, ,1,2,2500,1,1,0,0,0,4,5,0,0,0, ,1,0,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,7,0,9,0,11,0,13,0, 
33,112,1,1,3,1,1,2,1,1,3,0,1, ,2,64380,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,0,0, ,51.48,21.02, , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,22,8,40,25090,19047,5040,1003,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,0,5,0,0,0, ,1,1,2,3,1,0,0,3,1, , , , , , ,1, , , , , , , , , ,0,2,3,4,0,6,0,8,0,0,11,0,13,0, 
34,113,1,1,3,1,1,2,2,3,6,0,1, ,2,62160,2,41512.30159,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,0,5,0, ,2,0,2,3,0, , ,21.02,21.45, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,10,46,24997,19047,5000,950,1, , , , , , , ,2,0,0,3,0,0, ,1,2,2000,1,1,1,0,3,0,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,8,9,0,11,0,0,0, 
35,107,1,1,3,2,1,1,2,1,2,11,1, ,2,44400,2,39960,2, , , , ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,0,0, ,171.6,21.02, , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,23,8,46,26280,19121,6118,1041,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,0,0,4,0,0,0,0, ,1,0,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,0,0,0,9,0,0,12,13,0, 
36,113,1,1,3,1,1,2,2,2,3,0,1, ,2,41512.30159,1, ,2, , , , ,2,0,0,0,4,0,0, ,1,0,0,4,0,0, ,2,1,0,0,0, ,171.6, , , ,1, , , , , , , , , ,1,0,0,0,0,5,0,0,0,0,0,0,0, ,22,8,40,24839,19121,4680,1038,2,1,0,0,0,0,0, ,2,0,0,3,0,0, ,1,1, ,1,2, , , , , , , , , ,1,1,0,3,1,0,0,3,2, , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,13,0, 
37,111,1,1,3,1,1,3,2,2,3,3,1, ,2,77700,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,4,5,0, ,2,1,2,3,0, ,34.75,4.29,3.86, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,26,8,46,29339,19047,5292,5000,1, , , , , , , ,1, , , , , , ,1,1, ,1,1,1,0,3,0,0,0,7,0, ,1,1,0,0,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
38,110,1,1,3,2,1,2,1,2,3,0,1, ,2,9999998,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,25.74,21.02,21.45, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,27,8,24,22013,19047,1974,992,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,2,0,0,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,4,0,6,0,8,0,10,11,0,0,0, 
39,112,1,1,3,1,1,2,2,1,3,0,1, ,2,66600,2,41512.30159,2, , , , ,1,0,0,0,0,0,0, ,1,2,0,4,5,0, ,2,1,2,3,0, ,102.96,21.02,21.45, ,1, , , , , , , , , ,1,0,2,3,0,5,6,7,8,9,0,0,0, ,24,8,8,20353,19047,1056,250,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,0,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,1,2,3,0,0,6,0,0,0,0,0,0,0,0, 
40,107,1,1,3,2,1,1,2,1,3,0,1, ,2,39960,1, ,1,2,8369,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,21.02,21.45, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,21,8,26,25877,19121,2756,4000,2,1,0,0,0,0,0, ,1, , , , , , ,1,2,2800,1,1,0,0,0,0,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,8,9,0,0,0,0,0, 
41,113,1,1,3,1,1,1,2,2,6,0,1, ,2,88800,1, ,2, , , , ,1,0,0,0,0,0,0, ,0,0,0,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,9,40,26937,19273,6675,989,1, , , , , , , ,2,0,0,3,0,0, ,2,2,2500,1,2, , , , , , , , , ,1,0,0,3,2, , , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,13,0, 
42,112,1,1,3,1,1,2,2,2,3,0,1, ,2,35520,2,26640,2, , , , ,1,0,0,0,0,0,0, ,0,0,0,0,5,0, ,2,1,0,0,0, ,514.8, , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,27,8,45,29272,19380,8847,1045,2,1,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2000,1,1,0,2,0,4,5,0,0,0, ,1,0,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,4,5,6,0,0,0,0,0,0,13,0, 
43,107,1,1,3,2,1,2,1,3,5,0,1, ,2,41512.30159,1, ,1,1, ,1, ,1,0,0,0,0,0,0, ,1,2,0,4,5,0, ,2,1,2,0,0, ,308.88,21.02, , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,16,21886,19121,1789,976,1, , , , , , , ,1, , , , , , ,1,1, ,1,2, , , , , , , , , ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,4,5,0,0,0,9,0,11,0,13,0, 
44,107,1,1,3,2,1,1,2,1,3,0,1, ,2,111000,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,0,0,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,40,26647,19047,4600,3000,2,1,0,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2980,3,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,0,0, 
45,113,1,1,3,1,1,2,1,1,3,0,1, ,2,62160,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,171.6,51.48,21.45, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,22,8,40,25197,19121,5120,956,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,0,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,4,0,6,0,8,0,10,11,0,13,0, 
46,113,1,1,3,1,1,2,2,1,3,0,1, ,2,130000,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,171.6,21.02,21.45, ,1, , , , , , , , , ,1,0,2,0,0,0,0,0,0,0,0,0,0, ,24,8,40,25047,19047,6000,0,1, , , , , , , ,1, , , , , , ,1,2,2500,1,2, , , , , , , , , ,1,0,0,3,1,0,0,3,3, , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,13,0, 
47,113,1,1,3,1,1,2,2,2,6,0,1, ,2,9999998,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,171.6,21.02,21.45, ,1, , , , , , , , , ,1,1,0,0,0,0,0,0,8,0,0,11,0, ,24,8,24,22612,19047,2544,1021,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,0,0,5,6,7,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,0,0,0,9,0,0,12,0,0, 
