no,w1,w2,w3,t1,t2,t3,s1,s1b_1,s1b_2,s1b_3,s1b_4,s1b_5,s1b_6,s1b_7,s1b_8,s1b_9,s2,s2a_1,s2a_2,s2a_3,s2a_4,s2a_5,s2a_6,s2a_7,s2a_8,s2a_9,s2a_10,s2a_11,s2a_12,s2a_13,s2b,s2bb_1,s2bb_2,s2bb_3,s2bb_4,s2bb_5,s2bb_6,s2bb_7,s2bb_8,s2bb_9,s2bb_10,s2bb_11,s3,s3a,s4,s4b_1,s4b_2,s4b_3,s4b_4,s4b_5,s4b_6,s4b_7,s4b_8,s4b_9,s4b_10,s4b_11,s4b_12,s5,s5a,s5b,s5c_1,s5c_2,s5c_3,s5c_4,s5c_5,s5c_6,s5c_7,s5c_8,s5d,s6,s6a_2_1,s6a_3_1,s6a_4_1,s6a_5_1,s6b,s6s6b,s7a_1_0,s7a_1_1,s7a_2_1,s7a_3_1,s7c,s7b_1_1,s7b_2_1,s7b_1_0,n8,n8a0,n8a,n8b0,n8b,n8c0,n8c,n9,n9a,n10,n11,n11a1,n11b1,n11a2,n11b2,n11a3,n11b3,n12_1,n12_2,n12_3,n12_4,n12_5,n12_6,n13,n14,n14b_1,n14b_2,n14b_3,n14b_4,n15,n15b_1,n15b_2,n15b_3,n15b_4,n15b_5,n15b_6,n15b_7,n16,n16a,n16b_1,n16b_2,n16b_3,n16b_4,n16b_5,n17a_1,n17a_2,n17b_1,n17b_2,n17c_1,n17c_2,n17d_1,n17d_2,n17e_1,n17e_2,n17f_1,n17f_2,n17g_1,n17g_2,n17h_1,n17h_2,n18a,n18b,n18c,n18d,n18e,n18f,n19,n19a,n20_1,n20_2,n20_3,n21,n21a_1,n21a_2,n21a_3,n21a_4,n21a_5,n21a_6,n21a_7,n21a_8,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8
A0810019,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,3,3,0,0,0,17,20,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,2,2, , ,2,1000, , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,1,2,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
A0810026,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,6,7,25300,23800,1500,0,9,168,10,178,2,1, ,2,3,1, ,1, ,2,1,1, , , , , ,0,1,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
A0810027,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,0,2,0,0,10,12,23800,23800,0,0,9,168,0,168,2,2,1,1, ,1, ,1, ,1,1,2,1000, , , , ,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,2, ,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,2,2,2,3,2,2,1,2,0,0,1,2,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0
A0810028,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,13,14,25800,23800,1000,1000,9,168,5,173,2,2,2,2,2,2,2,1, ,1,1,2,2500, , , , ,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,2, ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,3,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
A0810029,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,2,3,27175,23800,3375,0,9,168,23,191,2,2,2,2,2,1, ,2,1,1,1,2,2500, , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,3,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,3,2,3,2,3,2,2, ,0,0,1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
A0810030,7.91244239631336,8.5349593495935,34.139837398374,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,4,0,4,0,0,18,22,27491,23800,3691,0,9,168,25,193,2,2,2,2,2,1, ,1, ,1,1,2,2500, , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,2,2,1,2,1,2,1,2,0,0,1,2,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
A0810032,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,2,0,0,0,3,5,23800,23800,0,0,9,168,0,168,2,2,1,2,3,1, ,1, ,1,1,2,5000, , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,2,2,2,3,2,2,2, ,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
A0810034,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,4,5,28000,25000,3000,0,9,168,20,188,2,2,3,2,3,2,3,1, ,2,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,2, ,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,2, ,0,0,1,2,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
A0810035,7.91244239631336,8.5349593495935,34.139837398374,1,8,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1, , , , , , , , , ,4,4,0,0,0,18,22,23800,23800,0,0,9,168,0,168,2,2,3,2,3,1, ,1, ,1,1,1, , , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,2,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A0810037,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1, , , , , , , , , ,2,2,0,0,0,6,8,28162,23800,2362,2000,8,176,16,192,2,1, ,2,3,1, ,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,3,2,2, ,1,0,0,2,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
A0810039,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,1,0,0,0,0,0,0,2, , , , , , , , , , , ,3,3,0,0,0,24,27,28852,23800,4452,600,9,168,24,192,2,2,5,2,2,1, ,2,1,1,2, , ,1, , , ,0,1,0,0,0,0,3,1,1,1,1,0,1,0,1,1,0,0,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2, ,0,0,1,2,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0
A0810040,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,1,1,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,19,20,23800,23800,0,0,9,168,0,168,2,1, ,2,3,1, ,2,1,1,1,2,1000, , , , ,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2, ,0,0,1,2,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0
A0810041,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,0,1,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,8,9,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,4, , , , , , ,0,0,0,0,0,0, ,1,1,1,1,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
A0810042,7.91244239631336,8.5349593495935,51.209756097561,1,8,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1, , , , , , , , , ,6,6,0,0,0,19,25,30282,24000,4282,2000,9,168,29,197,2,1, ,2,7,1, ,2,1,1,1,2,2500, , , , ,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,2,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
A0810044,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,3,3,0,0,0,23,26,27491,23800,3691,0,9,160,25,185,1,1, ,1, ,1, ,2,1,1,1,2,2000, , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2,2,2,1,2,1,1,1,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
A0810046,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,6,7,25600,23800,1800,0,9,168,12,180,2,1, ,2,3,1, ,1, ,2,3, , , , ,1, ,0,0,0,0,0,0, ,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,3,3,3,2,2,2,1,2,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
A0810047,7.91244239631336,8.5349593495935,51.209756097561,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1, , , , , , , , , ,6,6,0,0,0,16,22,46836,23800,19636,3400,10,160,133,293,2,1, ,2,3,2,3,1, ,1,1,2,2100, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,3,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A0810048,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,1,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,4,5,28082,23800,4282,0,9,168,29,197,1,1, ,1, ,1, ,1, ,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,2, ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A0810051,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,9,10,23800,23800,0,0,9,168,0,168,2,1, ,2,2,1, ,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,2,1,1,1,1,1,2, ,0,0,1,2,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
A0810052,7.91244239631336,8.5349593495935,17.069918699187,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,1,1,0,0,18,20,28800,23800,5000,0,9,168,32,200,2,1, ,2,2,1, ,2,1,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,2,3,3,3,3,3,2, ,0,0,1,2,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
A0810053,7.91244239631336,8.5349593495935,34.139837398374,1,8,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,4,2,2,0,0,24,28,29450,23800,4650,1000,9,168,30,198,2,2,3,2,7,2,3,1, ,1,2, , ,1, , , ,1,0,0,0,0,0,3,1,1,1,1,0,1,0,0,1,0,1,0,0,1,3,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,2,1,2,2,1,2,1,2,1,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
A0810054,7.91244239631336,8.5349593495935,25.6048780487805,1,8,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,3,3,0,0,0,8,11,25500,23800,1700,0,9,168,11,179,2,1, ,2,2,1, ,1, ,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3,3,3,4,3,3,2, ,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
A0810055,7.91244239631336,8.5349593495935,8.5349593495935,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,1,1,0,0,0,0,0,2, , , , , , , , , , , ,1,0,1,0,0,5,6,28082,23800,4282,0,9,168,29,197,2,1, ,2,2,1, ,1, ,1,1,1, , , , , ,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,2,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,1,2,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0
